RAW: 0x0ed, VOLTS: 0.190942 V
RAW: 0x04c, VOLTS: 0.061230 V
RAW: 0x00b, VOLTS: 0.008862 V
RAW: 0x033, VOLTS: 0.041089 V
RAW: 0x0c7, VOLTS: 0.160327 V
RAW: 0x1a4, VOLTS: 0.338379 V
RAW: 0x2e2, VOLTS: 0.594580 V
RAW: 0x456, VOLTS: 0.894287 V
RAW: 0x5f6, VOLTS: 1.229443 V
RAW: 0x7b3, VOLTS: 1.587964 V
RAW: 0x965, VOLTS: 1.937622 V
RAW: 0xb00, VOLTS: 2.268750 V
RAW: 0xc66, VOLTS: 2.557178 V
RAW: 0xd87, VOLTS: 2.790015 V
RAW: 0xe54, VOLTS: 2.955176 V
RAW: 0xec4, VOLTS: 3.045410 V
RAW: 0xecc, VOLTS: 3.051855 V
RAW: 0xe6b, VOLTS: 2.973706 V
RAW: 0xda9, VOLTS: 2.817407 V
RAW: 0xc97, VOLTS: 2.596655 V
RAW: 0xb39, VOLTS: 2.314673 V
RAW: 0x9a3, VOLTS: 1.987573 V
RAW: 0x7f2, VOLTS: 1.638721 V
RAW: 0x635, VOLTS: 1.280200 V
RAW: 0x492, VOLTS: 0.942627 V
RAW: 0x313, VOLTS: 0.634058 V
RAW: 0x1d0, VOLTS: 0.373828 V
RAW: 0x0d9, VOLTS: 0.174829 V
RAW: 0x043, VOLTS: 0.053979 V
RAW: 0x000, VOLTS: 0.000000 V
RAW: 0x03c, VOLTS: 0.048340 V
RAW: 0x0cf, VOLTS: 0.166772 V
RAW: 0x1be, VOLTS: 0.359326 V
RAW: 0x2fe, VOLTS: 0.617139 V
RAW: 0x47c, VOLTS: 0.924902 V
RAW: 0x624, VOLTS: 1.266504 V
RAW: 0x7d7, VOLTS: 1.616968 V
RAW: 0x990, VOLTS: 1.972266 V
RAW: 0xb25, VOLTS: 2.298559 V
RAW: 0xc88, VOLTS: 2.584570 V
RAW: 0xd9c, VOLTS: 2.806934 V
RAW: 0xe64, VOLTS: 2.968066 V
RAW: 0xec7, VOLTS: 3.047827 V
RAW: 0xec6, VOLTS: 3.047021 V
RAW: 0xe5d, VOLTS: 2.962427 V
RAW: 0xd89, VOLTS: 2.791626 V
RAW: 0xc76, VOLTS: 2.570068 V
RAW: 0xb17, VOLTS: 2.287280 V
RAW: 0x97e, VOLTS: 1.957764 V
RAW: 0x7c9, VOLTS: 1.605688 V
RAW: 0x615, VOLTS: 1.254419 V
RAW: 0x46d, VOLTS: 0.912817 V
RAW: 0x2f4, VOLTS: 0.609082 V
RAW: 0x1b6, VOLTS: 0.352881 V
RAW: 0x0c7, VOLTS: 0.160327 V
RAW: 0x038, VOLTS: 0.045117 V
RAW: 0x000, VOLTS: 0.000000 V
RAW: 0x035, VOLTS: 0.042700 V
RAW: 0x0e3, VOLTS: 0.182886 V
RAW: 0x1da, VOLTS: 0.381885 V
RAW: 0x31f, VOLTS: 0.643726 V
RAW: 0x49b, VOLTS: 0.949878 V
RAW: 0x64b, VOLTS: 1.297925 V
RAW: 0x804, VOLTS: 1.653223 V
RAW: 0x9b8, VOLTS: 2.004492 V
RAW: 0xb4c, VOLTS: 2.329980 V
RAW: 0xca2, VOLTS: 2.605518 V
RAW: 0xdb5, VOLTS: 2.827075 V
RAW: 0xe6e, VOLTS: 2.976123 V
RAW: 0xec9, VOLTS: 3.049438 V
RAW: 0xec0, VOLTS: 3.042187 V
